source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
G,True,0,10.0,0,29,2,1,1,20,0.0001,L2,0.0001,3.18,0.53,0.54,-0.00999299530878,-0.00816851076555,19.0,0.54
G,True,0,10.0,0,29,2,5,5,20,0.01,L2,0.1,3.38,0.15,0.29,-0.0038030653557000003,0.00182491028708,8.0,0.27
G,True,0,10.0,0,29,2,15,15,20,0.0001,L1,0.001,3.58,0.21,0.26,-0.00205937921727,0.000172398325359,8.0,0.26
G,True,0,10.0,0,29,2,1,1,20,0.0001,L2,0.1,3.31,0.12,0.3,-0.00036736070946599995,0.00130906100478,1.0,0.28
G,True,0,10.0,0,29,2,100,100,20,0.01,L1,0.1,6.07,0.12,0.39,-0.0058587494377,0.00351166267943,16.0,0.38
G,True,0,10.0,0,29,2,15,15,20,0.0001,L2,0.1,3.44,0.09,0.48,-0.00466621682411,0.0141931818182,4.0,0.26
G,True,0,10.0,0,29,2,100,100,20,1.0,L2,0.01,5.66,0.13,0.29,-0.0021429856693,0.00104440789474,8.0,0.27
G,True,0,10.0,0,29,2,50,50,20,0.1,L1,0.01,4.45,0.08,0.32,-0.0009831630357949998,0.0021502691387600002,1.0,0.27
G,True,0,10.0,0,29,2,50,50,20,1.0,L1,0.01,4.2,0.21,0.27,0.00141928539297,-0.00018884569378,19.0,0.27
G,True,0,10.0,0,29,2,2,2,20,0.001,L1,0.0001,3.12,0.6,0.57,-0.010125730994200001,-0.00975209330144,19.0,0.57
